[2026-09-11 13:21:04.524] [ALERT] [HIGH] Malicious Flow #43134 Detected!  (wb-mon/-/INT)
  └─ P(attack) 0.00% · latency 11,775.60 µs · ground truth: Normal → TN
[2026-09-11 13:21:05.301] [ALERT] [HIGH] Malicious Flow #22538 Detected!  (udp/dns/INT)
  ├─ Attack Category : Generic   (stage-2 guess: match; ground truth: Generic)
  ├─ Detection       : TP
  ├─ Confidence Score: 100.00%   (τ* = 0.50)
  ├─ Latency         : 12,632.00 microseconds
  └─ Action Taken    : TCP RST Packet Dispatched | Flow Blocked
[2026-09-11 13:21:05.402] [ALERT] [MEDIUM] Malicious Flow #19203 Detected!  (udp/-/INT)
  ├─ Attack Category : Fuzzers   (stage-2 guess: match; ground truth: Fuzzers)
  ├─ Detection       : TP
  ├─ Confidence Score: 57.15%   (τ* = 0.50)
  ├─ Latency         : 36,403.50 microseconds
  └─ Action Taken    : Source Rate-Limited | SOC Ticket Opened
[2026-09-11 13:21:05.475] [INFO ] [ALLOW] Flow #33836 classified benign  (udp/-/CON)
  └─ P(attack) 0.00% · latency 14,906.70 µs · ground truth: Normal → TN
[2026-09-11 13:21:05.550] [INFO ] [ALLOW] Flow #47826 classified benign  (udp/-/INT)
  └─ P(attack) 45.77% · latency 11,292.00 µs · ground truth: Fuzzers → FN — MISSED ATTACK
[2026-09-11 13:21:05.611] [ALERT] [HIGH] Malicious Flow #23510 Detected!  (idrp/-/INT)
  ├─ Attack Category : DoS   (stage-2 guess: MISMATCH; ground truth: Reconnaissance)
  ├─ Detection       : TP
  ├─ Confidence Score: 100.00%   (τ* = 0.50)
  ├─ Latency         : 10,451.80 microseconds
  └─ Action Taken    : TCP RST Packet Dispatched | Flow Blocked
[2026-09-11 13:21:05.716] [ALERT] [CRITICAL] Malicious Flow #23944 Detected!  (tcp/http/FIN)
  ├─ Attack Category : Worms   (stage-2 guess: match; ground truth: Worms)
  ├─ Detection       : TP
  ├─ Confidence Score: 98.80%   (τ* = 0.50)
  ├─ Latency         : 49,988.00 microseconds
  └─ Action Taken    : TCP RST Packet Dispatched | Flow Blocked
[2026-09-11 13:21:05.784] [INFO ] [ALLOW] Flow #44178 classified benign  (tcp/-/FIN)
  └─ P(attack) 27.46% · latency 11,498.70 µs · ground truth: Normal → TN
[2026-09-11 13:21:05.871] [INFO ] [ALLOW] Flow #22472 classified benign  (tcp/-/FIN)
  └─ P(attack) 20.88% · latency 21,957.90 µs · ground truth: Normal → TN
